Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",54.025000,-184.750000,0.000000,top
"C3","47uF","C_0603_1608Metric",56.100000,-151.600000,180.000000,top
"C4","10uF","C_0603_1608Metric",54.025000,-183.250000,0.000000,top
"C5","4.7uF","C_0603_1608Metric",61.875000,-175.312500,0.000000,top
"C6","4.7uF","C_0603_1608Metric",55.125000,-176.062500,-90.000000,top
"C7","4.7uF","C_0603_1608Metric",71.775000,-160.650000,180.000000,top
"C8","2.2uF","C_0603_1608Metric",68.025000,-155.425000,-90.000000,top
"C9","100uF","CP_EIA-2012-15_AVX-P",72.525000,-152.900000,0.000000,top
"C10","100uF","C_0603_1608Metric",66.250000,-169.250000,-90.000000,top
"C11","47uF","C_0603_1608Metric",71.475000,-171.250000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",61.837500,-181.595000,90.000000,top
"C13","15pF","C_0402_1005Metric",93.350000,-172.450000,0.000000,top
"C14","15pF","C_0402_1005Metric",96.620000,-175.950000,0.000000,top
"C15","4.7uF","C_0402_1005Metric",78.337500,-173.800000,90.000000,top
"C16","4.7uF","C_0402_1005Metric",79.337500,-173.800000,90.000000,top
"C17","4.7uF","C_0402_1005Metric",78.837500,-171.250000,0.000000,top
"C18","0.1uF","C_0402_1005Metric",83.250000,-170.250000,90.000000,top
"C19","0.1uF","C_0402_1005Metric",92.600000,-175.600000,0.000000,top
"C20","4.7uF","C_0402_1005Metric",83.500000,-181.500000,-90.000000,top
"C21","0.1uF","C_0402_1005Metric",78.100000,-176.500000,180.000000,top
"C22","0.1uF","C_0402_1005Metric",78.770000,-180.250000,180.000000,top
"C23","0.1uF","C_0402_1005Metric",85.500000,-181.500000,-90.000000,top
"C24","0.1uF","C_0402_1005Metric",91.500000,-177.200000,0.000000,top
"C25","0.1uF","C_0402_1005Metric",89.500000,-171.400000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",84.250000,-170.250000,90.000000,top
"C27","0.1uF","C_0402_1005Metric",81.500000,-170.250000,90.000000,top
"C28","0.1uF","C_0402_1005Metric",80.000000,-162.500000,90.000000,top
"C29","0.1uF","C_0603_1608Metric",97.250000,-165.562500,-90.000000,top
"C31","0.1uF","C_0603_1608Metric",67.000000,-187.500000,-90.000000,top
"D1","LED","LED_0603_1608Metric",53.125000,-169.812500,180.000000,top
"D2","1N914WT","D_SOD-523",89.300000,-183.200000,180.000000,top
"D3","LED","LED_0603_1608Metric",53.125000,-168.062500,180.000000,top
"J1","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",69.650000,-188.025000,90.000000,top
"J2","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal",47.000000,-186.750000,0.000000,top
"J3","MSD-7-A","CUI_MSD-7-A",88.500000,-158.750000,180.000000,top
"J4","USB-A1HSW6","OST_USB-A1HSW6",50.290000,-158.500000,-90.000000,top
"J5","S2B-PH-K-SLFSN","CONN_S2B-PH-K-S_JST",49.900000,-172.299999,-90.000000,top
"L1","3.3uH","L_0805_2012Metric",76.800000,-173.500000,90.000000,top
"L2","6.8uH","L_10.4x10.4_H4.8",61.300000,-157.900000,0.000000,top
"L3","2.2uH","L_Coilcraft_LPS3010",73.050000,-168.500000,-90.000000,top
"LS1","CSS-0578-SMT","CUI_CSS-0578-SMT",90.850000,-186.800000,180.000000,top
"Q1","2N7002","SOT-23",76.525000,-153.400000,180.000000,top
"Q2","BSS84","SOT-23",76.462500,-156.950000,0.000000,top
"Q3","BC817","SOT-23-3",92.700000,-182.100000,180.000000,top
"R1","5.1k","R_0402_1005Metric",41.000000,-187.510000,-90.000000,top
"R2","5.1k","R_0402_1005Metric",41.000000,-185.250000,-90.000000,top
"R3","27","R_0402_1005Metric",73.490000,-174.750000,0.000000,top
"R4","27","R_0402_1005Metric",73.490000,-175.750000,0.000000,top
"R5","10k","R_0402_1005Metric",60.875000,-170.562500,-90.000000,top
"R6","100k","R_0402_1005Metric",53.875000,-172.062500,0.000000,top
"R7","10k","R_0402_1005Metric",53.875000,-173.062500,0.000000,top
"R8","2.2k","R_0402_1005Metric",56.125000,-169.812500,0.000000,top
"R9","2.2k","R_0402_1005Metric",56.125000,-168.812500,0.000000,top
"R10","47k","R_0402_1005Metric",79.025000,-156.660000,90.000000,top
"R11","1k","R_0402_1005Metric",80.025000,-153.900000,90.000000,top
"R12","47k","R_0402_1005Metric",79.025000,-153.900000,90.000000,top
"R13","47k","R_0402_1005Metric",78.525000,-158.150000,180.000000,top
"R14","100k","R_0402_1005Metric",69.250000,-166.250000,180.000000,top
"R15","10k","R_0402_1005Metric",67.200000,-184.800000,-90.000000,top
"R16","10k","R_0402_1005Metric",96.750000,-177.250000,180.000000,top
"R18","1k","R_0402_1005Metric",93.350000,-174.450000,0.000000,top
"R19","33","R_0402_1005Metric",76.837500,-171.250000,180.000000,top
"R20","100k","R_0402_1005Metric",100.000000,-186.000000,180.000000,top
"R21","1k","R_0402_1005Metric",89.600000,-182.000000,180.000000,top
"R22","47k","R_0402_1005Metric",90.600000,-180.900000,0.000000,top
"R23","1M","R_0402_1005Metric",52.300000,-172.600000,90.000000,top
"R24","1M","R_0402_1005Metric",48.000000,-168.200000,0.000000,top
"R25","10k","R_0402_1005Metric",97.250000,-162.562500,-90.000000,top
"RN1","220","R_Array_Concave_4x0603",101.500000,-182.500000,0.000000,top
"RN2","220","R_Array_Concave_4x0603",101.000000,-167.500000,0.000000,top
"SW1","09.03290.01","09.03290_EAO",45.875000,-178.207599,-90.000000,top
"SW2","09.03290.01","09.03290_EAO",101.290000,-188.250000,-90.000000,top
"SW4","SW_MEC_5E","7SW_Push_1P1T_NO_CK_KMR2",100.800000,-176.750000,90.000000,top
"U1","RP2350A-QFN60","RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm",84.400000,-176.000000,90.000000,top
"U2","MCP73871-2CCI","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",58.125000,-173.125000,180.000000,top
"U3","TPS61092RSA","Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias",71.812500,-156.925000,0.000000,top
"U4","RT6150B-33GQW","SON50P250X250X80-11N",69.275000,-168.500000,180.000000,top
"U5","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",67.500000,-180.750000,180.000000,top
"X1","ABM8-272-T3","Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm",96.600000,-173.450000,180.000000,top
