Designator,Mid X,Mid Y,Rotation,Layer
C1,53.7,-183.9,270.0,top
C10,72.0,-165.3,0.0,top
C11,71.475,-171.25,0.0,top
C12,61.1,-180.4,90.0,top
C13,93.35,-172.45,0.0,top
C14,96.62,-175.95,0.0,top
C15,78.3375,-173.8,90.0,top
C16,79.3375,-173.8,90.0,top
C17,78.8375,-171.25,0.0,top
C18,83.25,-170.25,90.0,top
C19,92.6,-175.6,0.0,top
C2,85.8,-187.3,0.0,top
C20,83.5,-181.5,270.0,top
C21,78.1,-176.5,180.0,top
C22,78.77,-180.25,180.0,top
C23,85.5,-181.5,270.0,top
C24,91.5,-177.2,0.0,top
C25,89.5,-171.4,90.0,top
C26,84.25,-170.25,90.0,top
C27,81.5,-170.25,90.0,top
C28,80.0,-162.5,90.0,top
C29,97.25,-165.5625,270.0,top
C3,56.1,-151.6,180.0,top
C30,57.7,-180.8,0.0,top
C31,67.0,-187.5,270.0,top
C32,53.925,-178.9,0.0,top
C4,44.175,-180.8,180.0,top
C5,61.875,-175.3125,0.0,top
C6,55.125,-176.0625,270.0,top
C7,71.775,-160.65,180.0,top
C8,68.025,-155.425,270.0,top
D2,89.3,-183.2,180.0,top
L1,76.8,-173.5,90.0,top
Q1,76.525,-153.4,0.0,top
Q2,76.4625,-156.95,180.0,top
Q3,92.7,-182.1,0.0,top
R1,41.0,-187.51,270.0,top
R10,79.025,-156.66,90.0,top
R11,80.025,-153.9,90.0,top
R12,79.025,-153.9,90.0,top
R13,78.525,-158.15,180.0,top
R14,69.25,-166.25,180.0,top
R15,67.2,-184.8,270.0,top
R16,96.75,-177.25,180.0,top
R17,80.9,-182.9,0.0,top
R18,93.35,-174.45,0.0,top
R19,76.8375,-171.25,180.0,top
R2,41.0,-185.25,270.0,top
R20,96.2,-186.0,180.0,top
R21,89.6,-182.0,180.0,top
R22,90.6,-180.9,0.0,top
R23,52.3,-172.6,90.0,top
R24,48.0,-168.2,0.0,top
R25,97.25,-162.5625,270.0,top
R26,85.5,-183.89,90.0,top
R3,73.49,-174.75,0.0,top
R4,73.49,-175.75,0.0,top
R5,60.875,-170.5625,270.0,top
R6,53.875,-172.0625,0.0,top
R7,53.875,-173.0625,0.0,top
R8,56.125,-169.8125,0.0,top
R9,56.125,-168.8125,0.0,top
RN1,97.3,-180.0,90.0,top
RN2,96.2,-169.5,90.0,top
U1,84.4,-176.0,90.0,top
U2,58.125,-173.125,270.0,top
U3,71.8125,-156.925,0.0,top
U5,67.5,-180.75,90.0,top
U6,58.5,-184.0,180.0,top
X1,96.6,-173.45,180.0,top
